,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
0,151521112,11/04/2015,11/03/2015,2230,,N Hollywood,1555,330,BURGLARY FROM VEHICLE,0344,33.0,F,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,11100    CAMARILLO                    ST,,"(34.1577, -118.3727)"
1,151521113,11/04/2015,10/30/2015,200,,N Hollywood,1548,330,BURGLARY FROM VEHICLE,0344 1609 1307,44.0,F,B,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,11100    CHANDLER                     BL,,"(34.1681, -118.3724)"
2,151521117,11/04/2015,11/04/2015,1400,,N Hollywood,1506,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,0.0,M,H,704.0,ELEMENTARY SCHOOL,511.0,VERBAL THREAT,JA,Juv Arrest,930.0,,,,7300    BAKMAN                       AV,,"(34.203, -118.3779)"
3,151521121,11/04/2015,04/28/2015,2125,,N Hollywood,1567,121,"RAPE, FORCIBLE",2000 0429 1241 0416 0400 0527 1813 2002,23.0,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121.0,,,,10700    LANDALE                      ST,,"(34.1513, -118.3642)"
4,151521123,11/05/2015,10/27/2015,600,,N Hollywood,1515,354,THEFT OF IDENTITY,0100 1822,25.0,F,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,11700    LEMAY                        ST,,"(34.1912, -118.3891)"
5,151521128,11/05/2015,11/04/2015,2200,,N Hollywood,1548,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5200    CAHUENGA                     BL,,"(34.1667, -118.3702)"
6,151521130,11/04/2015,11/04/2015,1930,,N Hollywood,1548,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1202,57.0,M,H,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,341.0,,,,5300    LANKERSHIM                   BL,,"(34.167, -118.3759)"
7,151521131,11/04/2015,10/05/2015,1200,,N Hollywood,1522,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,64.0,M,O,101.0,STREET,,,IC,Invest Cont,331.0,,,,13100    WELBY                        WY,,"(34.193, -118.4181)"
8,151521132,11/04/2015,11/04/2015,730,,N Hollywood,1523,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,66.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,6200    BEEMAN                       AV,,"(34.1831, -118.4073)"
9,151521134,11/04/2015,11/04/2015,2230,,N Hollywood,1548,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0104 0325,0.0,M,W,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,440.0,,,,5300    VINELAND                     AV,,"(34.167, -118.3703)"
10,151521143,11/05/2015,10/28/2015,1030,,N Hollywood,1585,470,TILL TAP - GRAND THEFT ($950.01 & OVER),0344,36.0,M,B,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,470.0,,,,11300    VENTURA                      BL,,"(34.143, -118.3727)"
11,151521145,11/05/2015,11/05/2015,1030,,N Hollywood,1547,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 2000,52.0,F,W,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,5200    TUJUNGA                      AV,,"(34.1673, -118.3816)"
